#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (09-2024 - 08-2026),SV Forecasting trend (09-2026 - 09-2027),Category
1,veterinary doctor,pk,0,1500,0.03,0.23,veterinary doctor,2026-08-27 02:18:02,"Local pack,People also ask,Video preview",26000,100,5900,2015-09-02,"Informational,Commercial,Non-branded,Local",English,"2181, 1845, 1774, 1761, 1794, 1448, 1468, 1788, 2171, 2484, 1837, 1781, 1689, 1685, 1303, 1235, 1446, 1154, 1355, 1539, 1797, 2082, 1556, 1624","1583, 1372, 1136, 1195, 1401, 1099, 1286, 1525, 1787, 2071, 1500, 1582, 1549",Veterinarians
2,veterinary doctor near me,pk,0,500,0.05,,animal hospital near me,2026-09-08 13:56:06,"Local pack,People also ask,Thumbnail,Video preview",11000,0,0,2020-01-11,"Informational,Commercial,Transactional,Non-branded,Local",English,"607, 500, 505, 510, 513, 608, 712, 616, 789, 325, 576, 586, 482, 450, 461, 442, 444, 453, 458, 587, 541, 531, 610, 541","512, 501, 481, 475, 479, 484, 506, 519, 544, 534, 613, 544, 515",Veterinarians
3,animal doctor called,pk,4,300,0.07,0.17,veterinary doctor,2026-09-13 02:04:16,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview,Image pack",1600,90,9300,2015-09-03,"Informational,Non-branded,Non-local",English,"529, 455, 436, 449, 528, 429, 435, 430, 547, 483, 378, 296, 310, 397, 379, 272, 300, 288, 288, 292, 304, 319, 311, 304","290, 270, 262, 250, 264, 248, 251, 253, 268, 281, 276, 268, 255",Veterinarians
4,animal doctor,pk,0,300,0.02,0.18,vet doctor near me,2026-09-05 09:02:40,"AI Overview,Thumbnail,Local pack,People also ask,Image pack,Video preview",7100,150,150,2015-11-05,"Informational,Commercial,Non-branded,Local",English,"304, 304, 230, 228, 231, 204, 281, 293, 336, 488, 294, 358, 405, 297, 199, 207, 254, 243, 297, 306, 339, 462, 319, 347","341, 257, 195, 223, 262, 243, 287, 299, 339, 465, 320, 330, 325",Veterinarians
5,free animal hospital in lahore,pk,0,200,0.05,,pet clinic near me,2026-07-27 14:49:32,"Local pack,People also ask",200,1700,1700,2020-07-25,"Informational,Commercial,Non-branded,Local",English,"168, 154, 132, 149, 136, 163, 152, 183, 218, 181, 208, 266, 184, 158, 181, 154, 171, 166, 191, 242, 378, 222, 233, 97",175,Veterinarians
6,animal hospital lahore,pk,4,150,0.06,,round lake animal hospital,2026-08-01 18:55:42,"Local pack,People also ask",150,1000,1000,2015-09-23,"Informational,Commercial,Non-branded,Local",English,"190, 119, 119, 97, 145, 139, 179, 154, 164, 154, 156, 159, 127, 99, 124, 124, 131, 130, 135, 141, 132, 139, 171, 146","139, 122, 130, 123, 133, 131, 137, 142, 133, 141, 172, 147, 141",Veterinarians
7,round lake animal hospital lahore,pk,0,150,0.15,,pet clinic near me,2026-08-14 16:50:06,"Sitelinks,Video preview,People also ask",150,900,900,2022-11-23,"Informational,Navigational,Commercial,Transactional,Branded,Local",English,"90, 170, 138, 250, 194, 97, 168, 232, 199, 165, 223, 196, 182, 121, 162, 169, 260, 153, 104, 134, 129, 150, 119, 9",89,Veterinarians
8,animal doctor near me,pk,6,70,0.06,,pet clinic near me,2026-08-04 18:38:51,"Local pack,People also ask",3100,1700,1700,2019-08-16,"Informational,Commercial,Non-branded,Local",English,"63, 51, 52, 52, 64, 44, 64, 72, 145, 174, 323, 62, 51, 39, 40, 39, 40, 40, 48, 60, 75, 158, 138, 73","79, 67, 65, 68, 67, 64, 67, 70, 78, 161, 141, 76, 82",Veterinarians
9,veterinary clinic lahore,pk,,50,,,,,,60,,,2019-10-13,,,"18, 24, 19, 18, 45, 18, 28, 40, 26, 22, 45, 51, 36, 9, 76, 55, 60, 46, 66, 70, 59, 60, 75, 40",56,
10,animal doctor name,pk,0,50,,,veterinary doctor in karachi,2026-08-17 08:52:53,"People also ask,Image pack,Video preview",600,10,10,2016-05-14,"Informational,Commercial,Transactional,Non-branded,Local",English,"83, 58, 51, 50, 63, 37, 43, 3, 2, 11, 48, 24, 24, 33, 28, 28, 22, 36, 30, 66, 105, 65, 101, 92",87,Veterinarians
11,lahore animal hospital,pk,,50,,,,,,50,,,2015-09-03,,,"61, 82, 52, 46, 89, 73, 72, 64, 77, 45, 77, 56, 51, 32, 42, 44, 46, 60, 28, 72, 76, 27, 29, 29",28,
12,animal doctor is called,pk,,50,0.10,,,,,2200,,,2015-10-02,"Informational,Non-branded,Non-local",English,"65, 64, 56, 66, 69, 43, 50, 37, 62, 72, 70, 29, 48, 62, 23, 3, 4, 32, 37, 69, 86, 77, 100, 69",77,Veterinarians
13,doctor of veterinary medicine,pk,5,40,0.04,0.37,dvm,2026-07-30 07:02:33,"People also ask,Video preview",1600,200,200,2015-11-16,"Informational,Non-branded,Non-local",English,"78, 57, 35, 42, 48, 43, 37, 47, 59, 76, 68, 76, 65, 61, 41, 39, 39, 32, 29, 25, 27, 33, 58, 68","70, 44, 31, 28, 28, 21, 18, 14, 17, 22, 47, 57, 59",Universities
